Project ID,Region,Subregion,DEP Segment,Station ID,Date/time (EASTERN STANDARD TIME),Surface or Bottom,Sample depth (m),Enterococcus (#/100mL),Enterococcus '<' or  '>',E. coli (#/100mL),E. coli    '<' or  '>',Fecal coliform (#/100mL),Fecal coliform '<' or  '>',"Logan Rainfall (current day), in.","Logan Rainfall (current day + previous day), in.","Logan Rainfall (current day + previous 2 days), in.",Swimmable,E. coli (#/100mL)/Fecal coliform (#/100mL)
BHWQM,CHARLES RIVER,UPPER BASIN,MA72-07,012,12/16/19 10:44,S,0.1,327,,512,,,,0,0,1.25,N,512
BHWQM,CHARLES RIVER,LOWER BASIN,MA72-38,166,12/16/19 9:57,S,0.1,292,,1200,,,,0,0,1.25,N,1200
BHWQM,CHARLES RIVER,LOWER BASIN,MA72-38,166,12/16/19 9:57,S,0.1,419,,959,,,,0,0,1.25,N,959
BHWQM,CHARLES RIVER,UPPER BASIN,MA72-07,012,12/5/19 11:01,S,0.1,145,,345,,,,0,0,0.38,N,345
BHWQM,CHARLES RIVER,LOWER BASIN,MA72-38,166,12/5/19 10:31,S,0.1,52,,216,,,,0,0,0.38,N,216
CSORWM,CHARLES RIVER,UPPER BASIN,MA72-07,012,11/27/19 9:45,S,0.1,262,,298,,,,0.2,0.2,0.2,N,298
CSORWM,CHARLES RIVER,UPPER BASIN,MA72-36,001,11/27/19 9:30,S,0.1,305,,464,,,,0.2,0.2,0.2,N,464
CSORWM,CHARLES RIVER,UPPER BASIN,MA72-36,002,11/27/19 9:17,S,0.1,109,,336,,,,0.2,0.2,0.2,N,336
CSORWM,CHARLES RIVER,UPPER BASIN,MA72-36,003,11/27/19 9:02,S,0.1,97,,402,,,,0.2,0.2,0.2,N,402
CSORWM,CHARLES RIVER,MID-BASIN,MA72-38,210,11/27/19 8:43,S,0.1,134,,364,,,,0.2,0.2,0.2,N,364
CSORWM,CHARLES RIVER,MID-BASIN,MA72-38,007,11/27/19 8:35,S,0.1,187,,471,,,,0.2,0.2,0.2,N,471
CSORWM,CHARLES RIVER,MID-BASIN,MA72-36,206,11/27/19 8:27,S,0.1,160,,246,,,,0.2,0.2,0.2,N,246
CSORWM,CHARLES RIVER,MID-BASIN,MA72-38,145,11/27/19 8:15,S,0.1,657,,419,,,,0.2,0.2,0.2,N,419
CSORWM,CHARLES RIVER,MID-BASIN,MA72-38,009,11/27/19 8:05,S,0.1,243,,496,,,,0.2,0.2,0.2,N,496
CSORWM,CHARLES RIVER,LOWER BASIN,MA72-38,011,11/27/19 8:00,S,0.1,335,,435,,,,0.2,0.2,0.2,N,435
CSORWM,CHARLES RIVER,UPPER BASIN,MA72-07,012,11/26/19 10:25,S,0.1,246,,301,,,,0,0,1.51,N,301
CSORWM,CHARLES RIVER,UPPER BASIN,MA72-36,001,11/26/19 10:17,S,0.1,1020,,81,,,,0,0,1.51,Y,81
CSORWM,CHARLES RIVER,UPPER BASIN,MA72-36,002,11/26/19 10:08,S,0.1,318,,467,,,,0,0,1.51,N,467
CSORWM,CHARLES RIVER,UPPER BASIN,MA72-36,003,11/26/19 10:01,S,0.1,216,,744,,,,0,0,1.51,N,744
CSORWM,CHARLES RIVER,MID-BASIN,MA72-38,210,11/26/19 9:40,S,0.1,275,,620,,,,0,0,1.51,N,620
CSORWM,CHARLES RIVER,MID-BASIN,MA72-36,206,11/26/19 9:30,S,0.1,1380,,1610,,,,0,0,1.51,N,1610
CSORWM,CHARLES RIVER,MID-BASIN,MA72-38,145,11/26/19 9:02,S,0.1,231,,616,,,,0,0,1.51,N,616
CSORWM,CHARLES RIVER,MID-BASIN,MA72-38,009,11/26/19 8:52,S,0.1,413,,638,,,,0,0,1.51,N,638
CSORWM,CHARLES RIVER,LOWER BASIN,MA72-38,011,11/26/19 8:39,S,0.1,309,,627,,,,0,0,1.51,N,627
