Date,Chlorophyll
10/06/1997,21.8
16/09/1997,34.0
9/06/1998,9.64
15/09/1998,17.3
15/06/1999,14.60
21/09/1999,21.70
20/06/2000,2.32
19/09/2000,29.6
19/06/2001,4.48
18/09/2001,24.30
18/06/2002,4.73
17/09/2002,27.20
10/06/2003,3.04
16/09/2003,50.2
15/06/2004,0
21/09/2004,51.7
21/06/2005,2.03
20/09/2005,91.4
20/06/2006,10.4
19/06/2007,3.87
18/09/2007,124
24/06/2008,13.95
19/08/2008,15.5
16/09/2008,6.38
16/06/2009,2.83
15/09/2009,14.70
15/06/2010,5.54
15/06/2010,5.54
21/09/2010,7.18
21/06/2011,8.03
20/09/2011,1.26
19/06/2012,40.30
18/09/2012,23.70
18/06/2013,2.46
17/09/2013,3.08
17/06/2014,14.6
16/09/2014,43.7
16/06/2015,25.10
15/09/2015,20.20
21/06/2016,2.18
20/09/2016,42.20
