date,WesternAve,MassAve,NewCharlesRiverDam
3/16/2010,3,5.5,5.5
6/15/2010,18,21.5,21.5
9/21/2010,17,20,20
12/21/2010,na,na,11
3/15/2011,3.5,na,4.5
6/21/2011,22.5,23.5,24.2
9/20/2011,17.6,19.5,19.4
12/20/2011,3.5,4,4.2
3/20/2012,14,11.5,12.1
6/19/2012,23.7,23.8,23
9/18/2012,23.1,22.6,23.4
12/18/2012,7.7,6.3,8.1
4/9/2013,11,11.6,11.6
6/18/2013,20.5,22.1,21
9/17/2013,20,17.6,23.1
12/17/2013,na,1.1,2.5
3/18/2014,3,na,6.4
6/17/2014,22.9,22.6,25.6
9/16/2014,21,22.6,22.7
12/16/2014,4.2,5.2,4
3/17/2015,na,3.1,2.3
6/16/2015,23.6,23.8,23
9/15/2015,23.7,24.9,23.4
12/15/2015,na,12.5,10.5
3/15/2016,12,13.3,na
6/21/2016,26,27.7,24
9/20/2016,24.8,21.9,23.6
12/13/2016,2,2.7,3
3/21/2017,4.9,4.1,3
6/20/2017,24.2,22.8,24.2
9/17/2017,23,na,na
12/12/2017,4.3,na,4.3
