date,WesternAve,MassAve,NewCharlesRiverDam
3/16/2010,11.97,3.17,2.52
6/15/2010,4.51,9.06,7.1
9/21/2010,8.82,4.43,2.52
12/21/2010,na,1.13,1.36
3/15/2011,1.13,0.74,0.92
6/21/2011,5.78,8.74,5.9
9/20/2011,1.57,3.12,2.25
12/20/2011,1.3,1.07,1.04
3/20/2012,5.15,4.57,6.06
6/19/2012,8.96,6.46,5.1
9/18/2012,11.03,8.34,4.98
12/18/2012,2.53,2.05,1.75
4/9/2013,4.27,4.63,4.42
6/18/2013,3.84,3.08,4.57
9/17/2013,3.34,6.01,3.4
12/17/2013,na,2.87,4.35
3/18/2014,1.27,na,1.79
6/17/2014,9.58,7.38,8.93
9/16/2014,21.2,6.16,16
12/16/2014,0.75,0.81,na
3/17/2015,na,1.82,1.61
6/16/2015,21,40.2,28.3
9/15/2015,4.76,7.12,7.31
12/15/2015,na,6.22,3.92
3/15/2016,4.35,3.36,2.75
6/21/2016,8.33,5.84,5.09
9/20/2016,14,13,8.66
12/13/2016,5.18,4.49,4.01
3/21/2017,na,4.75,na
6/20/2017,6.95,6.84,na
9/17/2017,3.22,2.56,2.03
12/12/2017,2.97,2.18,na
