date,rainfall,rainfall3day,rainfall48hr,wet,eColi,eColiFiveDayAvg
5/29/2018,0,0,0,dry,19.7,19.7
5/30/2018,0,0,0,dry,9.8,14.75
5/31/2018,0,0,0,dry,75.9,35.13333333
6/1/2018,0,0,0,dry,10.8,29.05
6/2/2018,0.04,0.04,0.04,dry,20.9,27.42
6/3/2018,0,0.04,0.04,dry,50.4,33.56
6/4/2018,0.64,0.68,0.64,wet,16.8,34.96
6/5/2018,0.39,1.07,1.03,wet,57.6,31.3
6/6/2018,0,1.03,0.39,wet,47.3,38.6
6/7/2018,0,1.03,0,wet,20,38.42
6/8/2018,0,0.39,0,wet,31.1,34.56
6/9/2018,0,0,0,dry,16.1,34.42
6/10/2018,0,0,0,dry,13.2,25.54
6/11/2018,0,0,0,dry,21.8,20.44
6/12/2018,0,0,0,dry,58.1,28.06
6/13/2018,0.01,0.01,0.01,dry,24.7,26.78
6/14/2018,0,0.01,0.01,dry,11.9,25.94
6/15/2018,0,0.01,0,dry,11,25.5
6/16/2018,0,0.01,0,dry,148.3,50.8
6/17/2018,0,0,0,dry,115.3,62.24
6/18/2018,0.08,0.08,0.08,dry,24.1,62.12
6/19/2018,0,0.08,0.08,dry,78.9,75.52
6/20/2018,0,0.08,0,dry,20.9,77.5
6/21/2018,0,0.08,0,dry,49.6,57.76
6/22/2018,0,0,0,dry,17,38.1
6/23/2018,0,0,0,dry,27,38.68
6/24/2018,0.36,0.36,0.36,wet,172.3,57.36
6/25/2018,0.44,0.8,0.8,wet,21.6,57.5
6/26/2018,0,0.8,0.44,wet,39.9,55.56
6/27/2018,0.11,0.91,0.11,wet,35.9,59.34
6/28/2018,1.16,1.71,1.27,wet,866.4,227.22
6/29/2018,0,1.27,1.16,wet,25.3,197.82
6/30/2018,0,1.27,0,wet,37.3,200.96
7/1/2018,0,1.16,0,wet,18.5,196.68
7/2/2018,0,0,0,dry,26.9,194.88
7/3/2018,0.03,0.03,0.03,dry,11.2,23.84
7/4/2018,0,0.03,0.03,dry,8.4,20.46
7/5/2018,0,0.03,0,dry,88.4,30.68
7/6/2018,0.43,0.46,0.43,wet,26.6,32.3
7/7/2018,0,0.43,0.43,wet,272.3,81.38
7/9/2018,0,0.43,0,wet,0,96.825
7/10/2018,0,0,0,dry,0,74.725
7/11/2018,0.03,0.03,0.03,dry,19.5,72.95
7/12/2018,0,0.03,0.03,dry,8.4,6.975
7/13/2018,0,0.03,0,dry,13.4,8.26
7/14/2018,0.25,0.28,0.25,wet,3.1,8.88
7/15/2018,0.05,0.3,0.3,wet,319.9,72.86
7/16/2018,0,0.3,0.05,wet,214,111.76
7/17/2018,2.25,2.55,2.25,wet,63.3,122.74
7/18/2018,0.02,2.32,2.27,wet,2419,603.86
7/19/2018,0,2.27,0.02,wet,8.4,604.92
7/20/2018,0,2.27,0,wet,2419,1024.74
7/21/2018,0,0.02,0,dry,13.4,984.62
7/22/2018,0.14,0.14,0.14,wet,57.3,983.42
7/23/2018,0.2,0.34,0.34,wet,5.2,500.66
7/24/2018,0,0.34,0.2,wet,7.3,500.44
7/25/2018,0.02,0.36,0.02,wet,2,17.04
7/26/2018,0.63,0.85,0.65,wet,4.1,15.18
7/27/2018,0,0.65,0.63,wet,8.4,5.4
7/28/2018,0,0.65,0,wet,9.7,6.3
7/30/2018,0,0,0,dry,9.8,8
7/31/2018,0,0,0,dry,14.5,10.6
8/1/2018,0,0,0,dry,1,8.75
8/2/2018,0.1,0.1,0.1,dry,2,6.825
8/3/2018,0.06,0.16,0.16,wet,2,5.86
8/4/2018,0.6,0.76,0.66,wet,8.4,5.58
8/6/2018,0,0.66,0,wet,4.1,4.125
8/7/2018,0,0.6,0,wet,1,3.875
8/8/2018,0.2,0.2,0.2,wet,5.2,4.675
8/9/2018,0.17,0.37,0.37,wet,4.1,3.6
8/10/2018,0,0.37,0.17,wet,1,3.08
8/11/2018,0.46,0.83,0.46,wet,24.8,7.22
8/12/2018,1.72,2.35,2.18,wet,29.4,12.9
8/13/2018,0.37,2.55,2.09,wet,18.9,15.64
8/14/2018,0.07,2.62,0.44,wet,37.7,22.36
8/15/2018,0,2.16,0.07,wet,9.7,24.1
8/16/2018,0,0.44,0,wet,24.6,24.06
8/20/2018,0,0.49,0.01,wet,35,29.8
8/21/2018,0,0.13,0,wet,4.1,19.55
8/22/2018,0.37,0.38,0.37,wet,63.5,34.2
8/27/2018,0,0,0,dry,6.3,6.3
8/28/2018,0,0,0,dry,10.9,8.6
8/29/2018,0,0,0,dry,8.5,8.566666667
8/30/2018,0,0,0,dry,9.8,8.875
8/31/2018,0,0,0,dry,16,10.3
,,,,,,
